dataset,features,standardization,cost factor,weighted accuracy,f1-score,credible f1-score,non-credible f1-score
Sondhi,link,True,1,73.6111111111111,0.736111111111111,0.690005120327701,0.770159590484794
Sondhi,link,True,2,79.8148148148148,0.733333333333333,0.668411865506844,0.776581052893745
Sondhi,link,True,3,85.1388888888889,0.741666666666667,0.668205239840003,0.788264515489856
Sondhi,comm,True,1,76.9444444444444,0.769444444444444,0.757511462296361,0.780044808992177
Sondhi,comm,True,2,81.6666666666667,0.741666666666667,0.664701800043374,0.789384104267825
Sondhi,comm,True,3,85.9722222222222,0.719444444444445,0.609327755485358,0.781035454653073
Sondhi,wordsRem,True,1,61.3888888888889,0.613888888888889,0.37976911976912,0.718590612002377
Sondhi,wordsRem,True,2,74.8148148148148,0.625,0.388831168831169,0.728150693985459
Sondhi,wordsRem,True,3,81.5277777777778,0.630555555555556,0.398284506191483,0.732122738248709
Sondhi,wordsKeep,True,1,59.4444444444444,0.594444444444444,0.313737298436107,0.711249185040333
Sondhi,wordsKeep,True,2,73.1481481481482,0.597222222222222,0.315066202090592,0.71381179424243
Sondhi,wordsKeep,True,3,80,0.6,0.320713260914122,0.715459014558147
Sondhi,allRem,True,1,61.3888888888889,0.613888888888889,0.37976911976912,0.718590612002377
Sondhi,allRem,True,2,75,0.627777777777778,0.396804590758079,0.729548480822967
Sondhi,allRem,True,3,81.5277777777778,0.630555555555556,0.398284506191483,0.732122738248709
Sondhi,allKeep,True,1,59.4444444444444,0.594444444444444,0.313737298436107,0.711249185040333
Sondhi,allKeep,True,2,73.1481481481482,0.597222222222222,0.315066202090592,0.71381179424243
Sondhi,allKeep,True,3,80,0.6,0.320713260914122,0.715459014558147
Schwarz,link,True,1,93.75,0.9375,0.967698967698968,0
Schwarz,link,True,2,88.2613510520487,0.9375,0.967698967698968,0
Schwarz,link,True,3,83.399209486166,0.9375,0.967698967698968,0
Schwarz,comm,True,1,93.75,0.9375,0.967698967698968,0
Schwarz,comm,True,2,88.2613510520487,0.9375,0.967698967698968,0
Schwarz,comm,True,3,83.399209486166,0.9375,0.967698967698968,0
Schwarz,wordsRem,True,1,93.75,0.9375,0.967698967698968,0
Schwarz,wordsRem,True,2,90.5869324473976,0.9375,0.966842105263158,0.45
Schwarz,wordsRem,True,3,87.796442687747,0.9375,0.966842105263158,0.45
Schwarz,wordsKeep,True,1,91.25,0.9125,0.954203691045796,0
Schwarz,wordsKeep,True,2,85.8803986710963,0.9125,0.954203691045796,0
Schwarz,wordsKeep,True,3,81.1264822134388,0.9125,0.954203691045796,0
Schwarz,allRem,True,1,93.75,0.9375,0.967698967698968,0
Schwarz,allRem,True,2,90.5869324473976,0.9375,0.966842105263158,0.45
Schwarz,allRem,True,3,87.796442687747,0.9375,0.966842105263158,0.45
Schwarz,allKeep,True,1,91.25,0.9125,0.954203691045796,0
Schwarz,allKeep,True,2,85.8803986710963,0.9125,0.954203691045796,0
Schwarz,allKeep,True,3,81.1264822134388,0.9125,0.954203691045796,0
